"Gene","Module"
"DPP3","turquoise"
"HNF1B","blue"
"SCIN","grey"
"MUC15","grey"
"CSRP1","turquoise"
"ARF6","turquoise"
"THY1","turquoise"
"LGALS1","turquoise"
"CPSF4","turquoise"
"TMPRSS4","brown"
"SESN3","grey"
"SLC3A2","turquoise"
"BANF1P3","turquoise"
"MAP1B","turquoise"
"OAZ1","turquoise"
"ARL2","turquoise"
"FGF5","turquoise"
"OCIAD2","grey"
"LAMB3","turquoise"
"SNAI2","turquoise"
"POSTN","grey"
"PCDHB5","grey"
"ATG4B","turquoise"
"INHBA","turquoise"
"HIST1H3B","turquoise"
"ELOF1","turquoise"
"HORMAD1","grey"
"ATP8B1","turquoise"
"HIST1H4D","turquoise"
"SSNA1","turquoise"
"NRCAM","blue"
"SEMA6A","grey"
"KRT5","turquoise"
"UQCRHL","turquoise"
"AXL","turquoise"
"LIN28B","grey"
"G6PD","turquoise"
"CALCRL","grey"
"CD151","turquoise"
"HHIP","grey"
"CPED1","turquoise"
"HIST1H2BF","turquoise"
"SLC1A3","turquoise"
"UGT2B11","blue"
"STX10","turquoise"
"ACSL5","grey"
"SHISA3","turquoise"
"KRT18","turquoise"
"HPGD","turquoise"
"TRIM28","turquoise"
"SEMA3E","turquoise"
"NID2","blue"
"VGLL1","brown"
"IL1B","turquoise"
"MRPL24","turquoise"
"ETS1","turquoise"
"NLGN1","turquoise"
"ANTXR2","grey"
"ARHGEF2","turquoise"
"SCEL","brown"
"CFI","grey"
"CYC1","turquoise"
"SNORD95","turquoise"
"CCBE1","turquoise"
"NTS","turquoise"
"TSPAN4","turquoise"
"DSG2","brown"
"IGKV1OR9-1","grey"
"LSM4","turquoise"
"SERPINE2","grey"
"ANXA1","grey"
"TC2N","brown"
"ID1","turquoise"
"PXDN","grey"
"WDR6","turquoise"
"PEG10","blue"
"SPC24","turquoise"
"ZNF711","grey"
"CDCA4","turquoise"
"LGR5","grey"
"USF1","turquoise"
"HNRNPA0","turquoise"
"LIPA","turquoise"
"TLE4","grey"
"CA2","grey"
"ITGB4","turquoise"
"PTPRZ1","grey"
"IRF6","turquoise"
"AK5","grey"
"SYT14","grey"
"HIST2H2AC","turquoise"
"RPS28","turquoise"
"PRAME","grey"
"TMEM156","turquoise"
"C2orf43","turquoise"
"THOC6","turquoise"
"HSD17B14","turquoise"
"MCM5","turquoise"
"LMO3","grey"
"LPAR3","turquoise"
"PDE1C","grey"
"SCN9A","turquoise"
"MALL","turquoise"
"SYT11","turquoise"
"TK1","turquoise"
"FAM198B","grey"
"MAP2K6","turquoise"
"TSTA3","turquoise"
"ZNF730","grey"
"SCARNA12","turquoise"
"BCAP31","turquoise"
"MAMDC2","turquoise"
"MMP10","grey"
"CDR1","grey"
"SEPP1","blue"
"PLOD2","brown"
"BST2","turquoise"
"DAB2","grey"
"SLC7A2","grey"
"FREM2","turquoise"
"CD44","grey"
"UGT1A1","grey"
"C3","blue"
"BCKDHA","turquoise"
"RNVU1-18","turquoise"
"CDK9","turquoise"
"DSP","brown"
"EPHA3","turquoise"
"CRIP2","turquoise"
"RPS2P4","turquoise"
"C19orf48","turquoise"
"HIST1H3J","turquoise"
"SNORD116-8","turquoise"
"DOCK10","grey"
"ANO3","turquoise"
"AGR2","grey"
"LOC440311","turquoise"
"EMP3","turquoise"
"CTSH","turquoise"
"DDIT4","turquoise"
"GPS1","turquoise"
"CYBRD1","turquoise"
"HOXB9","turquoise"
"APOBEC3B","turquoise"
"MED24","turquoise"
"NT5DC2","turquoise"
"CHRDL1","turquoise"
"IVD","turquoise"
"LRRC59","turquoise"
"WBSCR16","turquoise"
"PRTFDC1","grey"
"NAP1L3","turquoise"
"AIP","turquoise"
"LCN2","brown"
"MRTO4","turquoise"
"VEPH1","grey"
"ARMC6","turquoise"
"BNC1","turquoise"
"CASP4","grey"
"CDC20","turquoise"
"ARHGAP28","grey"
"TSPYL5","grey"
"GANAB","turquoise"
"CTSD","turquoise"
"ENC1","turquoise"
"ARMCX2","turquoise"
"TP53","turquoise"
"BSG","turquoise"
"GNG11","turquoise"
"RNVU1-6","turquoise"
"GAS6","turquoise"
"SNORD15B","turquoise"
"CD2BP2","turquoise"
"LINC01123","grey"
"RGS5","turquoise"
"EPHA2","turquoise"
"TMEM154","grey"
"LY6E","turquoise"
"AES","turquoise"
"IFIH1","grey"
"DKK2","grey"
"RNF144B","grey"
"TPI1P1","turquoise"
"GPC4","grey"
"ASF1B","turquoise"
"SLC27A2","turquoise"
"RRP7A","turquoise"
"SLIT2","grey"
"DFNA5","turquoise"
"KAL1","grey"
"EIF6","turquoise"
"RBP1","grey"
"POFUT1","turquoise"
"PLK2","grey"
"PFKM","turquoise"
"SLC25A6P2","turquoise"
"SLC25A39","turquoise"
"RAB3B","turquoise"
"MOGS","turquoise"
"MCM2","turquoise"
"MARVELD2","brown"
"MPDU1","turquoise"
"CRABP2","turquoise"
"MB21D1","grey"
"SART1","turquoise"
"PLBD1","grey"
"CA12","grey"
"AHR","grey"
"KCNJ16","blue"
"PLEK2","turquoise"
"RIC8A","turquoise"
"FLNA","turquoise"
"SLC39A1","turquoise"
"TES","grey"
"GPNMB","grey"
"CDH10","turquoise"
"ADM","turquoise"
"FASN","turquoise"
"ADD2","turquoise"
"GCNT4","grey"
"CLDN7","turquoise"
"TSPAN7","turquoise"
"PLEKHA2","turquoise"
"DSC3","grey"
"S100A2","turquoise"
"ATP5SL","turquoise"
"ADAMTS12","turquoise"
"DNAJB1","turquoise"
"IFITM1","grey"
"PNPO","turquoise"
"IGF2BP1","turquoise"
"MAGED2","turquoise"
"PYGB","turquoise"
"KRT81","turquoise"
"GPRC5B","grey"
"S100A14","brown"
"GRK6","turquoise"
"MCTP1","grey"
"WDR34","turquoise"
"KCNMA1","turquoise"
"PLAU","turquoise"
"OLFML1","turquoise"
"KRT13","turquoise"
"ISYNA1","turquoise"
"PPAP2C","turquoise"
"RBMS3","grey"
"IL1R1","brown"
"CFL1","turquoise"
"EMB","grey"
"CCNF","turquoise"
"TENM3","grey"
"UQCRC1","turquoise"
"F3","grey"
"MIR302A","turquoise"
"MIR302B","turquoise"
"SHISA5","turquoise"
"EIF4H","turquoise"
"CPA4","turquoise"
"OLR1","turquoise"
"KLHL13","grey"
"SERPINB2","turquoise"
"LSS","turquoise"
"GRWD1","turquoise"
"MYH9","turquoise"
"PMPCA","turquoise"
"RNH1","turquoise"
"PTPRD","grey"
"TRIM59","grey"
"TMEM71","turquoise"
"NRP1","turquoise"
"STEAP4","brown"
"TAGLN","turquoise"
"RBP4","blue"
"RND3","brown"
"SLC38A4","grey"
"TIE1","turquoise"
"MYBBP1A","turquoise"
"CPVL","grey"
"CTGF","turquoise"
"AP1M1","turquoise"
"DPP9","turquoise"
"ECH1","turquoise"
"EEF1DP1","turquoise"
"TCF25","turquoise"
"KLK5","turquoise"
"KLHDC3","turquoise"
"LIPH","turquoise"
"NR1H2","turquoise"
"DUS1L","turquoise"
"INPP4B","turquoise"
"TP63","turquoise"
"HIF1AN","turquoise"
"INA","grey"
"VAT1","turquoise"
"LRRC17","grey"
"SNORA71A","turquoise"
"FYN","turquoise"
"PTPLAD2","grey"
"SAA1","grey"
"GPAA1","turquoise"
"HIST3H2A","turquoise"
"GPX4","turquoise"
"ERBB4","grey"
"GPRC5A","grey"
"HIST1H4L","turquoise"
"GPR126","turquoise"
"GPX3","blue"
"BABAM1","turquoise"
"SPINT2","grey"
"ANXA10","turquoise"
"VLDLR-AS1","blue"
"PMF1","turquoise"
"ELOVL7","brown"
"RMRP","turquoise"
"BIN3","turquoise"
"NLGN4X","turquoise"
"SQSTM1","turquoise"
"NAT9","turquoise"
"HOXB6","turquoise"
"LYPLAL1","turquoise"
"MID1","grey"
"CDCP1","grey"
"MT2P1","turquoise"
"SIX1","turquoise"
"NPRL3","turquoise"
"DOCK11","turquoise"
"SLC39A7","turquoise"
"TUFT1","turquoise"
"USP11","turquoise"
"MT1X","turquoise"
"PHLDA1","turquoise"
"CALB1","grey"
"MT2A","turquoise"
"SNCA","turquoise"
"PEMT","turquoise"
"PRTG","turquoise"
"KRT4","turquoise"
"NAGA","turquoise"
"PSMB9","turquoise"
"AP2S1","turquoise"
"MAP2","turquoise"
"SLC16A7","grey"
"FSCN1","turquoise"
"ACTR1A","turquoise"
"SNORA40","turquoise"
"BEX4","grey"
"SNX17","turquoise"
"GFRA1","grey"
"RPA1","turquoise"
"IFI44L","grey"
"CMBL","grey"
"FKBP10","turquoise"
"ECI1","turquoise"
"TGFA","turquoise"
"ADAM15","turquoise"
"PLIN2","grey"
"LYPD1","grey"
"TRPS1","grey"
"ATAD3B","turquoise"
"SURF4","turquoise"
"TINAGL1","turquoise"
"NPNT","grey"
"CHMP1A","turquoise"
"FGFR2","turquoise"
"PECAM1","grey"
"DCAF4","turquoise"
"LOC101060546","turquoise"
"BAK1","turquoise"
"BCS1L","turquoise"
"EEF1D","turquoise"
"KIFC1","turquoise"
"NSUN5","turquoise"
"SERPINH1","turquoise"
"PPP1R8","turquoise"
"COMT","turquoise"
"SERPINB1","grey"
"ELAC2","turquoise"
"GPC6","turquoise"
"SFN","turquoise"
"MLF2","turquoise"
"PHF5A","turquoise"
"RANGAP1","turquoise"
"SLC1A1","turquoise"
"SAMD9L","grey"
"SUB1P1","turquoise"
"ITGB3","blue"
"LOX","grey"
"SLC43A3","grey"
"MGST1","grey"
"SNORD116-20","turquoise"
"SNORD26","turquoise"
"IL13RA2","grey"
"OXCT1","turquoise"
"FGF2","turquoise"
"ACTBP7","turquoise"
"HIST1H3A","turquoise"
"ZNF512","turquoise"
"SOX2","turquoise"
"THSD1","turquoise"
"FXYD3","turquoise"
"SLC7A3","turquoise"
"FAM83B","brown"
"VGLL3","turquoise"
"BBS5","turquoise"
"TSPAN5","turquoise"
"WDR17","turquoise"
"CEACAM6","turquoise"
"IFIT1","turquoise"
"PLCB4","grey"
"CD99","turquoise"
"FAP","turquoise"
"COL12A1","grey"
"BCAT2","turquoise"
"KIAA0408","turquoise"
"GREM1","grey"
"MRPL46","turquoise"
"SLC7A5","turquoise"
"IQGAP2","grey"
"SLC16A6","grey"
"EXTL3","turquoise"
"ABCC2","turquoise"
"EHD4","turquoise"
"PLXNA2","turquoise"
"XAB2","turquoise"
"KRT18P11","turquoise"
"EDNRB","grey"
"HGS","turquoise"
"TIMM13","turquoise"
"AGPAT2","turquoise"
"SLC16A1","turquoise"
"ACO2","turquoise"
"LIFR","turquoise"
"CXorf40B","turquoise"
"YKT6","turquoise"
"TMEM88","turquoise"
"WDR55","turquoise"
"EFTUD2","turquoise"
"FLRT2","turquoise"
"SDC1","turquoise"
"MRPL23","turquoise"
"IAH1","grey"
"SNORD116-15","turquoise"
"RNF216P1","turquoise"
"PCYT2","turquoise"
"HIST1H1A","grey"
"ITGA5","turquoise"
"PRPSAP2","turquoise"
"SDC2","grey"
"SLC37A4","turquoise"
"CT45A5","grey"
"ID2","grey"
"SNORD116-3","turquoise"
"POR","turquoise"
"RNU2-1","turquoise"
"TNFRSF10D","turquoise"
"ERAP2","grey"
"MPI","turquoise"
"DHRS3","turquoise"
"TKT","turquoise"
"C9orf64","grey"
"FERMT1","turquoise"
"CACNA2D1","grey"
"ELP5","turquoise"
"VPS37B","turquoise"
"PKP2","grey"
"LRRC41","turquoise"
"SLC2A1","turquoise"
"HIST1H3H","turquoise"
"SLC2A14","turquoise"
"CDPF1","turquoise"
"PRMT7","turquoise"
"APOA1BP","turquoise"
"B3GAT3","turquoise"
"STOM","turquoise"
"MCAM","turquoise"
"AKT3","grey"
"NALCN","grey"
"CLCN7","turquoise"
"MEST","turquoise"
"DLX5","grey"
"FPGS","turquoise"
"METTL7A","turquoise"
"IFIT2","turquoise"
"MTG2","turquoise"
"BCHE","grey"
"NRP2","grey"
"IGFBP5","grey"
"PKN1","turquoise"
"SH3BGRL","grey"
"LOC642533","turquoise"
"SDR42E1","brown"
"FKBP8","turquoise"
"FAM64A","turquoise"
"SCNN1A","brown"
"ACTG1","turquoise"
"FLNC","turquoise"
"FADS2","turquoise"
"LUM","grey"
"NDUFC2-KCTD14","turquoise"
"PRKCSH","turquoise"
"PSMB8","turquoise"
"GLT8D2","grey"
"PMEPA1","turquoise"
"ETV1","turquoise"
"TMEM98","turquoise"
"MYBL2","turquoise"
"PSMB6","turquoise"
"HTATIP2","grey"
"LURAP1L","turquoise"
"RARB","turquoise"
"NXN","turquoise"
"CTBP1","turquoise"
"HENMT1","grey"
"TBC1D13","turquoise"
"GCN1L1","turquoise"
"PVRL3","blue"
"ANK2","turquoise"
"RPS6KA6","grey"
"MERTK","turquoise"
"CKMT1A","turquoise"
"CKMT1B","turquoise"
"KIAA1324L","grey"
"NXPE3","turquoise"
"LXN","grey"
"HIST1H2BJ","turquoise"
"TMUB1","turquoise"
"FRMD5","turquoise"
"ZNF215","turquoise"
"UBBP4","turquoise"
"CST6","brown"
"RN7SL674P","turquoise"
"TNFRSF10B","turquoise"
"C7orf49","turquoise"
"TGFBR2","turquoise"
"SIRT2","turquoise"
"MMP14","turquoise"
"POU1F1","turquoise"
"RN7SL253P","turquoise"
"RHBDD2","turquoise"
"MPPED2","grey"
"ROBO2","grey"
"NID1","turquoise"
"PPP1CA","turquoise"
"TNFSF18","grey"
"NIPAL3","turquoise"
"TRMT1","turquoise"
"STK16","turquoise"
"PRPS1","turquoise"
"PSMD3","turquoise"
"TNS3","turquoise"
"KCNT2","grey"
"NELL2","grey"
"AKT1","turquoise"
"MRPL28","turquoise"
"SV2A","turquoise"
"LPAR1","grey"
"RN7SL277P","turquoise"
"EPB41L4A","brown"
"CLPTM1L","turquoise"
"COL3A1","turquoise"
"SNRNP70","turquoise"
"APH1B","turquoise"
"ALDH18A1","turquoise"
"DDX56","turquoise"
"LMAN2L","turquoise"
"EEF1A2","turquoise"
"HOXC10","turquoise"
"ADAMTS3","grey"
"CSRNP3","grey"
"RNU2-2P","turquoise"
"FILIP1","blue"
"NREP","grey"
"HMCN1","grey"
"TNFAIP2","turquoise"
"ACSS3","grey"
"ENO1","turquoise"
"DUSP5","turquoise"
"CDH13","grey"
"TSPAN8","grey"
"WDR72","grey"
"ARL4C","turquoise"
"TGFB1","turquoise"
"PPP2R1A","turquoise"
"CAPN1","turquoise"
"GFPT2","turquoise"
"H19","turquoise"
"TMEM43","turquoise"
"PSMB3","turquoise"
"LOC100133315","turquoise"
"ST14","brown"
"RIPK4","turquoise"
"NDUFAF1","turquoise"
"EXOSC2","turquoise"
"RBPMS","grey"
"SQRDL","grey"
"ABCB1","grey"
"PCDHB2","turquoise"
"CYB561A3","turquoise"
"TSPAN2","grey"
"AOX1","turquoise"
"VARS","turquoise"
"AFAP1L2","turquoise"
"CNTN1","grey"
"FAM126A","turquoise"
"ENPP2","grey"
"SLC35E2B","turquoise"
"CD274","grey"
"TUFM","turquoise"
"MIF","turquoise"
"FBN1","grey"
"LIX1","grey"
"PFAS","turquoise"
"CYP4F11","grey"
"BYSL","turquoise"
"H1F0","turquoise"
"LEF1","turquoise"
"ZNF114","grey"
"DGCR6","turquoise"
"SNORD1C","turquoise"
"NFIB","grey"
"HIST2H2BA","turquoise"
"KRT15","turquoise"
"GSG1","turquoise"
"JAG1","turquoise"
"TRAF7","turquoise"
"IL7R","turquoise"
"NRG1","grey"
"MOCS3","turquoise"
"COL1A2","turquoise"
"CXADR","turquoise"
"DBNL","turquoise"
"MIR31HG","turquoise"
"RAB27B","grey"
"DHCR7","turquoise"
"PLA2G4A","grey"
"LONP1","turquoise"
"CAMK2N1","grey"
"PHLDB2","grey"
"IGFBP6","turquoise"
"GSTM3","blue"
"TM4SF19","grey"
"POPDC3","turquoise"
"SNORA64","turquoise"
"CAMK4","turquoise"
"ZEB1","turquoise"
"SSSCA1","turquoise"
"DPYD","turquoise"
"PRSS23","turquoise"
"ITM2C","turquoise"
"TUBB2B","turquoise"
"SPNS1","turquoise"
"BMP4","turquoise"
"SH3BP5L","turquoise"
"CPT1A","turquoise"
"PHYHIPL","blue"
"ABCG2","turquoise"
"PDLIM1","grey"
"CES2","turquoise"
"TIMP3","grey"
"USP44","blue"
"CRISPLD1","grey"
"MTAP","turquoise"
"MOXD1","grey"
"HMG20B","turquoise"
"JUN","turquoise"
"QSOX1","turquoise"
"DUSP1","turquoise"
"RFC2","turquoise"
"R3HDM4","turquoise"
"ELOVL6","turquoise"
"CPM","blue"
"SH3GL1","turquoise"
"UGT2B7","blue"
"SPRY1","turquoise"
"NRIP1","grey"
"SCN2A","turquoise"
"PLCE1","grey"
"NEGR1","grey"
"EDC3","turquoise"
"BCL2L1","turquoise"
"SLC25A21","turquoise"
"OGFR","turquoise"
"RANBP3","turquoise"
"CANT1","turquoise"
"TPRA1","turquoise"
"CCNA1","grey"
"TPD52L2","turquoise"
"PTX3","turquoise"
"TUSC3","grey"
"SNORA49","turquoise"
"ADAMTS9","grey"
"ARHGEF28","turquoise"
"FANCC","turquoise"
"PLIN3","turquoise"
"SLC22A3","turquoise"
"NPR3","grey"
"HKDC1","turquoise"
"ABLIM3","turquoise"
"TEK","turquoise"
"PSD3","turquoise"
"KIF2C","turquoise"
"SFRP2","turquoise"
"ACAT1","turquoise"
"SNORA45A","turquoise"
"GLI3","turquoise"
"DDB1","turquoise"
"TXNL4A","turquoise"
"TIMM8A","turquoise"
"ITFG3","turquoise"
"INTS9","turquoise"
"HES1","turquoise"
"PRL","grey"
"HEY2","turquoise"
"S1PR1","turquoise"
"SERPING1","blue"
"GALC","grey"
"BRMS1","turquoise"
"RRS1","turquoise"
"OSTN","turquoise"
"KRT17","turquoise"
"C19orf12","turquoise"
"SERPINB13","turquoise"
"GBP1","grey"
"PIAS4","turquoise"
"GALNT2","turquoise"
"ARPC1B","turquoise"
"NUCB1","turquoise"
"SPATA20","turquoise"
"RRAS","turquoise"
"ARID2","grey"
"RNF25","turquoise"
"GULP1","blue"
"TRIB3","turquoise"
"RNF121","turquoise"
"SCAF11","grey"
"PMP22","turquoise"
"ALDH2","turquoise"
"PSPH","turquoise"
"LEPREL1","grey"
"CBS","turquoise"
"STC2","turquoise"
"ARAP1","turquoise"
"PFKL","turquoise"
"RASA3","turquoise"
"ELL2P1","turquoise"
"TMEM52B","turquoise"
"CLMP","turquoise"
"CRIM1","turquoise"
"GUCY1A3","grey"
"POLD1","turquoise"
"LOC101927628","turquoise"
"ACLY","turquoise"
"IL20RB","turquoise"
"NNT","turquoise"
"ZNF204P","brown"
"TTLL12","turquoise"
"NIPAL1","turquoise"
"MMP16","turquoise"
"ITGA4","turquoise"
"SHMT1","turquoise"
"RPS26P2","turquoise"
"IRF1","turquoise"
"DNER","turquoise"
"FARSA","turquoise"
"NOL6","turquoise"
"CYP51A1","turquoise"
"HEY1","turquoise"
"IGFBP2","turquoise"
"SLC35F2","turquoise"
"F2RL1","turquoise"
"PDE3B","turquoise"
"HPCAL1","turquoise"
"TMSB15A","grey"
"PLEKHB2","turquoise"
"GIPC1","turquoise"
"HLA-E","turquoise"
"TIMM44","turquoise"
"SNORD32A","turquoise"
"ARRDC4","grey"
"GNB2","turquoise"
"MFSD12","turquoise"
"ZYX","turquoise"
"ASNA1","turquoise"
"RRP7B","turquoise"
"POMK","turquoise"
"ALKBH6","turquoise"
"SNORD45C","turquoise"
"UGT8","grey"
"CES1","turquoise"
"PLA2G7","brown"
"SSBP2","turquoise"
"ZNF229","turquoise"
"APOL2","turquoise"
"CUBN","turquoise"
"HMGCL","turquoise"
"PDGFD","turquoise"
"NNMT","grey"
"STAP2","turquoise"
"RHOBTB3","turquoise"
"ADAM23","turquoise"
"MIR27B","turquoise"
"AASS","turquoise"
"ATP5D","turquoise"
"MEIS1","turquoise"
"DDX41","turquoise"
"PAX9","turquoise"
"PLRG1","turquoise"
"MRFAP1","turquoise"
"PHB2","turquoise"
"PLEC","turquoise"
"CPNE8","grey"
"SUMF2","turquoise"
"YRDC","turquoise"
"CDT1","turquoise"
"TMEM45B","grey"
"HTR1D","turquoise"
"WDR77","turquoise"
"RNU6-639P","turquoise"
"AP4M1","turquoise"
"PBX1","grey"
"PRPF19","turquoise"
"GPM6A","turquoise"
"NMRAL1","turquoise"
"MSRB1","turquoise"
"IFI30","turquoise"
"CELF1","turquoise"
"GPR39","grey"
"CDK14","grey"
"RAC2","turquoise"
"APOBEC3C","turquoise"
"RCBTB1","turquoise"
"ENTPD6","turquoise"
"RFXANK","turquoise"
"PRKAR2B","turquoise"
"UBL4A","turquoise"
"COL4A1","turquoise"
"POMT1","turquoise"
"ADAMTS6","turquoise"
"NPLOC4","turquoise"
"SARS2","turquoise"
"RN7SL769P","turquoise"
"GYG2","turquoise"
"BLCAP","turquoise"
"ENG","turquoise"
"SNORD116-5","turquoise"
"ACSM3","blue"
"HCLS1","turquoise"
"EREG","grey"
"VAMP8","turquoise"
"TDO2","turquoise"
"KTI12","turquoise"
"ALDH3A1","turquoise"
"ARMCX1","turquoise"
"PCDH9","grey"
"SNORA71D","turquoise"
"ENO2","turquoise"
"MGAT1","turquoise"
"SGK1","turquoise"
"FKBP5","turquoise"
"PSMG3","turquoise"
"PTPRM","grey"
"LAMA4","grey"
"PDPN","turquoise"
"KCNK2","grey"
"LOC339803","turquoise"
"TIMM17B","turquoise"
"XRCC2","turquoise"
"ACTG1P1","turquoise"
"EPAS1","turquoise"
"EML3","turquoise"
"TP53I3","turquoise"
"TUBB6","turquoise"
"MUL1","turquoise"
